,0
1976-02-01,6.79
1976-03-01,7.13
1976-04-01,6.98
1976-05-01,7.92
1976-06-01,9.42
1976-07-01,11.02
1976-08-01,10.95
1976-09-01,9.69
1976-10-01,9.09
1976-11-01,8.27
1976-12-01,7.37
1977-01-01,7.02
1977-02-01,7.24
1977-03-01,7.53
1977-04-01,7.4
1977-05-01,8.25
1977-06-01,9.4
1977-07-01,10.72
1977-08-01,11.68
1977-09-01,10.23
1977-10-01,9.37
1977-11-01,7.62
1977-12-01,6.85
1978-01-01,7.64
1978-02-01,7.13
1978-03-01,7.27
1978-04-01,7.32
1978-05-01,7.72
1978-06-01,8.85
1978-07-01,10.58
1978-08-01,11.44
1978-09-01,10.45
1978-10-01,8.69
1978-11-01,7.66
1978-12-01,7.24
1979-01-01,7.56
1979-02-01,7.34
1979-03-01,7.28
1979-04-01,7.19
1979-05-01,7.57
1979-06-01,8.78
1979-07-01,9.87
1979-08-01,10.99
1979-09-01,9.59
1979-10-01,8.71
1979-11-01,7.54
1979-12-01,7.23
1980-01-01,7.26
1980-02-01,7.12
1980-03-01,7.1
1980-04-01,7.47
1980-05-01,8.41
1980-06-01,10.15
1980-07-01,11.47
1980-08-01,12.39
1980-09-01,11.09
1980-10-01,9.17
1980-11-01,7.98
1980-12-01,7.27
1981-01-01,6.78
1981-02-01,6.81
1981-03-01,6.91
1981-04-01,7.03
1981-05-01,7.94
1981-06-01,9.38
1981-07-01,10.3
1981-08-01,10.9
1981-09-01,9.73
1981-10-01,8.59
1981-11-01,7.75
1981-12-01,7.16
1982-01-01,6.71
1982-02-01,6.96
1982-03-01,7.27
1982-04-01,7.02
1982-05-01,7.45
1982-06-01,9.35
1982-07-01,10.97
1982-08-01,11.06
1982-09-01,9.73
1982-10-01,8.77
1982-11-01,7.63
1982-12-01,7.42
1983-01-01,7.42
1983-02-01,7.18
1983-03-01,7.23
1983-04-01,7.09
1983-05-01,8.12
1983-06-01,8.93
1983-07-01,9.64
1983-08-01,10.4
1983-09-01,9.95
1983-10-01,8.93
1983-11-01,7.54
1983-12-01,7.88
1984-01-01,7.26
1984-02-01,7.33
1984-03-01,7.4
1984-04-01,7.48
1984-05-01,7.99
1984-06-01,9.57
1984-07-01,11.05
1984-08-01,11.33
1984-09-01,10.44
1984-10-01,9.35
1984-11-01,8.57
1984-12-01,7.5
1985-01-01,7.58
1985-02-01,7.47
1985-03-01,7.71
1985-04-01,7.51
1985-05-01,8.4
1985-06-01,9.35
1985-07-01,10.59
1985-08-01,11.36
1985-09-01,10.62
1985-10-01,9.5
1985-11-01,8.48
1985-12-01,7.95
1986-01-01,7.23
1986-02-01,7.21
1986-03-01,7.49
1986-04-01,7.31
1986-05-01,7.83
1986-06-01,9.2
1986-07-01,10.93
1986-08-01,11.63
1986-09-01,10.23
1986-10-01,8.54
1986-11-01,7.86
1986-12-01,7.21
1987-01-01,7.16
1987-02-01,7.33
1987-03-01,7.45
1987-04-01,7.33
1987-05-01,8.07
1987-06-01,9.68
1987-07-01,11.15
1987-08-01,11.94
1987-09-01,10.6
1987-10-01,9.01
1987-11-01,8.34
1987-12-01,7.85
1988-01-01,7.29
1988-02-01,7.09
1988-03-01,7.58
1988-04-01,7.47
1988-05-01,7.91
1988-06-01,9.42
1988-07-01,10.74
1988-08-01,11.75
1988-09-01,11.04
1988-10-01,9.15
1988-11-01,8.21
1988-12-01,7.66
1989-01-01,7.45
1989-02-01,6.9
1989-03-01,7.31
1989-04-01,7.37
1989-05-01,7.87
1989-06-01,9.37
1989-07-01,10.46
1989-08-01,11.23
1989-09-01,9.86
1989-10-01,8.74
1989-11-01,8.05
1989-12-01,7.4
1990-01-01,7.37
1990-02-01,7.07
1990-03-01,7.21
1990-04-01,7.25
1990-05-01,7.75
1990-06-01,9.59
1990-07-01,11.03
1990-08-01,11.51
1990-09-01,10.31
1990-10-01,8.79
1990-11-01,8.28
1990-12-01,7.54
1991-01-01,7.08
1991-02-01,7.12
1991-03-01,7.28
1991-04-01,7.35
1991-05-01,8.11
1991-06-01,9.95
1991-07-01,11.43
1991-08-01,12.3
1991-09-01,10.38
1991-10-01,8.6
1991-11-01,7.89
1991-12-01,7.72
1992-01-01,7.26
1992-02-01,7.18
1992-03-01,7.5
1992-04-01,7.36
1992-05-01,7.9
1992-06-01,9.6
1992-07-01,10.39
1992-08-01,11.11
1992-09-01,9.77
1992-10-01,8.43
1992-11-01,7.84
1992-12-01,7.13
1993-01-01,6.75
1993-02-01,6.98
1993-03-01,7.08
1993-04-01,7.1
1993-05-01,7.7
1993-06-01,8.58
1993-07-01,10.04
1993-08-01,10.87
1993-09-01,10.42
1993-10-01,9.24
1993-11-01,7.81
1993-12-01,7.42
1994-01-01,6.58
1994-02-01,6.97
1994-03-01,7.22
1994-04-01,7.13
1994-05-01,8.19
1994-06-01,9.49
1994-07-01,11.1
1994-08-01,11.41
1994-09-01,10.53
1994-10-01,8.97
1994-11-01,8.19
1994-12-01,7.52
1995-01-01,7.27
1995-02-01,6.7
1995-03-01,7.18
1995-04-01,6.92
1995-05-01,7.53
1995-06-01,9.15
1995-07-01,10.22
1995-08-01,11.28
1995-09-01,10.32
1995-10-01,8.81
1995-11-01,7.87
1995-12-01,7.36
1996-01-01,7.35
1996-02-01,7.26
1996-03-01,7.46
1996-04-01,7.79
1996-05-01,8.34
1996-06-01,9.42
1996-07-01,10.7
1996-08-01,11.42
1996-09-01,11.1
1996-10-01,9.61
1996-11-01,7.82
